title,rating,liked,disliked,text,predicted_categories
One of the best ways to increase your brand reputation,5,"There is no doubt that G2 is the most familiar software review platform. Our social proof on all marketing assets is greatly enhanced by the G2 seasonal reports with all of their badges you can earn and claim. 

Their dashboard is simple, and their account managers are some of the best I've encountered. And above all, we really learn a lot from all the reviews.",Setting up the review invitations campaign requires CSV files with customer lists that I must prepare in advance.,"One of the best ways to increase your brand reputation There is no doubt that G2 is the most familiar software review platform. Our social proof on all marketing assets is greatly enhanced by the G2 seasonal reports with all of their badges you can earn and claim. 

Their dashboard is simple, and their account managers are some of the best I've encountered. And above all, we really learn a lot from all the reviews. Setting up the review invitations campaign requires CSV files with customer lists that I must prepare in advance.",['- User Experience\n- Support Quality']
Great experience so far,5,"Good and fast communication, always helpful.",Not really have anything negative so far.,"Great experience so far Good and fast communication, always helpful. Not really have anything negative so far.",['User Experience and Customer Satisfaction']
Excellent services & team,5,"Easy to use and collaborate on internally. We are able to see how our competitors are performing and measure ourselves against the competition.

Its great to see the progress on dashboards and track review activity",Not fully understanding why some of our reviews are rejected and how we could better inform our customers.,"Excellent services & team Easy to use and collaborate on internally. We are able to see how our competitors are performing and measure ourselves against the competition.

Its great to see the progress on dashboards and track review activity Not fully understanding why some of our reviews are rejected and how we could better inform our customers.",['User Experience and Comparative Analysis']
Great addition to your brand credibility,5,The G2 team is very helpful and is motivated to help generate more reviews for our business page. The review campaigns are a great way to generate new reviews from customers. The platform is easy to navigate.,"Other than the profile page, there are not other ways that are available to help educate G2's audience on our company","Great addition to your brand credibility The G2 team is very helpful and is motivated to help generate more reviews for our business page. The review campaigns are a great way to generate new reviews from customers. The platform is easy to navigate. Other than the profile page, there are not other ways that are available to help educate G2's audience on our company",['- Customer Satisfaction\n- Support Quality']
G2 is providing a set of tolls that provide value to the business bottom line,4,The ability to tailor a package to match our business strategy,There is quite a bit of overhead in managing and running all the programs and profiles,G2 is providing a set of tolls that provide value to the business bottom line The ability to tailor a package to match our business strategy There is quite a bit of overhead in managing and running all the programs and profiles,['- Product Benefits\n- Customization Options']
Really useful features for building social proof,4.5,It's been really worthwhile in gathering reviews from users and getting access to data on companies who are searching for a platform like ours.,"So far, I don't have any complaints. Mark and Henry have been really helpful and thorough in helping us get to grips with the features and make the most out of them.","Really useful features for building social proof It's been really worthwhile in gathering reviews from users and getting access to data on companies who are searching for a platform like ours. So far, I don't have any complaints. Mark and Henry have been really helpful and thorough in helping us get to grips with the features and make the most out of them.",['Customer Satisfaction and Support Quality']
"G2 are helping us to build social proof, reduce churn and strengthen business cases!",5,"The reporting of our review performance against our competitors helps us to get a better understanding of our market positioning.

The feedback we receive from customers helps us to improve our product roadmap, so we can better serve our client base and develop our software.

Our Account Manager, Siobhan, is so responsive and helpful! She is also a joy to meet with and always brings energy and new ideas to our monthly check-ins.","We initially had some teething issues with being notified when budgets ran out, which was quickly actioned by our AM.","G2 are helping us to build social proof, reduce churn and strengthen business cases! The reporting of our review performance against our competitors helps us to get a better understanding of our market positioning.

The feedback we receive from customers helps us to improve our product roadmap, so we can better serve our client base and develop our software.

Our Account Manager, Siobhan, is so responsive and helpful! She is also a joy to meet with and always brings energy and new ideas to our monthly check-ins. We initially had some teething issues with being notified when budgets ran out, which was quickly actioned by our AM.",['- Customer Satisfaction\n- Support Quality']
Great support and service from our Relationship Manager!,4,I appreciate to receive fast feedback each time I've a question. I always get great support whenever I'm in need. Our Relationship Manager is a true problem solver.,I don't have the time to discover all the great things you can do with G2.,Great support and service from our Relationship Manager! I appreciate to receive fast feedback each time I've a question. I always get great support whenever I'm in need. Our Relationship Manager is a true problem solver. I don't have the time to discover all the great things you can do with G2.,['- Customer Satisfaction\n- Support Quality']
Great for trust-building,4.5,"G2 delivers third-party, peer reviews for software solutions in a process-driven way that is both helpful and convenient. As G2 handles the reviews entirely, customers can be sure these are independent and tamper-free -- this in turn helps vendors build trust, by showing prospects what customers truly think of the brand and its offerings. The platform also serves as a window into a company's solutions, by enabling vendors to set up and update product pages with ease. The Account Manager team to assist vendors are helpful and friendly.",The process for end customers to submit a review is a bit lengthy and can be offputting. The contract side of things can be more complex than it needs to be; it could also benefit from being more flexible.,"Great for trust-building G2 delivers third-party, peer reviews for software solutions in a process-driven way that is both helpful and convenient. As G2 handles the reviews entirely, customers can be sure these are independent and tamper-free -- this in turn helps vendors build trust, by showing prospects what customers truly think of the brand and its offerings. The platform also serves as a window into a company's solutions, by enabling vendors to set up and update product pages with ease. The Account Manager team to assist vendors are helpful and friendly. The process for end customers to submit a review is a bit lengthy and can be offputting. The contract side of things can be more complex than it needs to be; it could also benefit from being more flexible.",['Customer Satisfaction and Support Quality']
G2 Review for Typeform,5,"Our G2 team is extremely helpful, they are always helping us ideate, think differently, and ensure that we are using the program to it's fullest capabilities",I can't think of any functionality that I dislike at the moment,"G2 Review for Typeform Our G2 team is extremely helpful, they are always helping us ideate, think differently, and ensure that we are using the program to it's fullest capabilities I can't think of any functionality that I dislike at the moment",['- User Experience\n- Support Quality']
Great Collaboration,5,"Always helpful with questions & insanely good initiative, which definitely helps us move forward",That I often do not have enough time. Sorry for that! Still so happy to have you!,"Great Collaboration Always helpful with questions & insanely good initiative, which definitely helps us move forward That I often do not have enough time. Sorry for that! Still so happy to have you!",['Customer Satisfaction\nCollaboration Features']
Trusted reviews for SAAS,4.5,"G2 as a platform is really easy to use and gives you lots of valuable insights.  As a business, it's really great that reviews are verified so other users know they can be trusted and they're not being faked. The badges that you can earn from each report are also great for marketing.



Have to say our account manager Siobhan is also excellent. Over the two years we've worked together, she's always been there to offer advice and support, plus, it's been lovely to have a catch-up when you've been working together for a while! She has gone the extra mile for us and done things like present to our business on the importance of reviews and different ways we can run review campaigns.",Nothing. Only wish I had some more time on my end to make the most of G2!,"Trusted reviews for SAAS G2 as a platform is really easy to use and gives you lots of valuable insights.  As a business, it's really great that reviews are verified so other users know they can be trusted and they're not being faked. The badges that you can earn from each report are also great for marketing.



Have to say our account manager Siobhan is also excellent. Over the two years we've worked together, she's always been there to offer advice and support, plus, it's been lovely to have a catch-up when you've been working together for a while! She has gone the extra mile for us and done things like present to our business on the importance of reviews and different ways we can run review campaigns. Nothing. Only wish I had some more time on my end to make the most of G2!",['- User Experience\n- Customer Satisfaction']
Tailored and supportive service,4.5,"The quality of the service is excellent. We got a lot of support from Siobhan on improving our product page and which parts to focus on. It really felt like an extension of the team, focused on delivering our results, rather than a sales-focused relationship.",Nothing comes to mind; the service is flexible to fit our needs.,"Tailored and supportive service The quality of the service is excellent. We got a lot of support from Siobhan on improving our product page and which parts to focus on. It really felt like an extension of the team, focused on delivering our results, rather than a sales-focused relationship. Nothing comes to mind; the service is flexible to fit our needs.",['- Customer Satisfaction\n- Support Quality']
No-brainer social proof for any B2B SaaS vendor,5,"As a B2B SaaS marketing veteran, I know how crucial it is to provide prospects with social proof. So I knew I had to get my G2 game up to speed when I started heading the marketing. I'm happy to say G2's team helped me set up my page very quickly and helped me get an initial number of reviews to put my startup on the map. We even won 9 G2 badges just about 3 months after starting.","G2 is a must-have for every SaaS that wants to make a real name for itself, and I'm stressing that even though it isn't cheap, it's still worth the investment.","No-brainer social proof for any B2B SaaS vendor As a B2B SaaS marketing veteran, I know how crucial it is to provide prospects with social proof. So I knew I had to get my G2 game up to speed when I started heading the marketing. I'm happy to say G2's team helped me set up my page very quickly and helped me get an initial number of reviews to put my startup on the map. We even won 9 G2 badges just about 3 months after starting. G2 is a must-have for every SaaS that wants to make a real name for itself, and I'm stressing that even though it isn't cheap, it's still worth the investment.","['Customer Satisfaction', 'Ease of Setup']"
Took our Market presence to whole new level,5,G2 has been the platform to showcase our customers' trust in the public's eye. We have been getting more leads and Visitors to our site through G2. The new users feel confident about our product following the reviews on G2. Our CSM @Arijit_Das has been very helpful and supportive in every aspect. A special thanks to him!,It would be great to extract more data with our current plan.,Took our Market presence to whole new level G2 has been the platform to showcase our customers' trust in the public's eye. We have been getting more leads and Visitors to our site through G2. The new users feel confident about our product following the reviews on G2. Our CSM @Arijit_Das has been very helpful and supportive in every aspect. A special thanks to him! It would be great to extract more data with our current plan.,"['Customer Satisfaction', 'Support Quality']"
Great platform to source quality leads!,5,"The G2 platform is incredibly helpful in finding quality leads. The setup is very easy and self-explanatory, and my account manager Siobhan is the absolute best! She's helped me gain over 100 reviews for 2 different companies I've worked for thus far. G2 gives you the opportunity to showcase your company's value propositions and bring in quality leads.","There isn't anything that I particularly dislike about the G2 platform. The only thing I'd say is that I wish we had some more insight into the buyer intent feature, but that is an add-on with extra costs associated.","Great platform to source quality leads! The G2 platform is incredibly helpful in finding quality leads. The setup is very easy and self-explanatory, and my account manager Siobhan is the absolute best! She's helped me gain over 100 reviews for 2 different companies I've worked for thus far. G2 gives you the opportunity to showcase your company's value propositions and bring in quality leads. There isn't anything that I particularly dislike about the G2 platform. The only thing I'd say is that I wish we had some more insight into the buyer intent feature, but that is an add-on with extra costs associated.","['""Ease of Setup"" and ""Customer Satisfaction""']"
Really enjoyed working with G2,5,The team are very knowledgeable and always contactable - always on hand with ideas to help build the reviews to help with the business,There isn't anything I disliked about working with G2,Really enjoyed working with G2 The team are very knowledgeable and always contactable - always on hand with ideas to help build the reviews to help with the business There isn't anything I disliked about working with G2,"['Customer Satisfaction', 'Support Quality']"
Great platform and fantastic customer support team,5,"Onboarding was super smooth, and we've made a good start with reviews on the platform. The grids are helpful to see how we compare to competitors, and we enjoy using the badges too. It's an excellent way for us to build brand awareness and credibility. 



Mark and Henry are great! At every catch-up meeting, they come with new ideas and examples of how we can gather more reviews and use all of the features.",There isn't anything we dislike. We'd love to use G2 intent data in Zoominfo but sadly that requires a package upgrade,"Great platform and fantastic customer support team Onboarding was super smooth, and we've made a good start with reviews on the platform. The grids are helpful to see how we compare to competitors, and we enjoy using the badges too. It's an excellent way for us to build brand awareness and credibility. 



Mark and Henry are great! At every catch-up meeting, they come with new ideas and examples of how we can gather more reviews and use all of the features. There isn't anything we dislike. We'd love to use G2 intent data in Zoominfo but sadly that requires a package upgrade",['Customer Satisfaction and Support Quality']
Really easy to use and great support from the team,4.5,"The platform is really easy to use, and you get so much information from it - including which companies have looked at your page! The team at G2 are also really helpful and give you loads of great advice for getting the most from the site.","While having each review checked makes the site more respected (and, hey, that's why it's so great), it does mean it's pretty hard to get people to fill out reviews.","Really easy to use and great support from the team The platform is really easy to use, and you get so much information from it - including which companies have looked at your page! The team at G2 are also really helpful and give you loads of great advice for getting the most from the site. While having each review checked makes the site more respected (and, hey, that's why it's so great), it does mean it's pretty hard to get people to fill out reviews.",['User Experience and Support Quality']
"Amazing product and support, G2 is crucial for our international expansion!",5,"I really like that you can promote your company, our offers, and the support. Wow! Amazing! Answers all our questions super fast! :)","Nothing, some small improvements can be done in the admin site but isn't that a challenge for every SaaS company out there. ;D","Amazing product and support, G2 is crucial for our international expansion! I really like that you can promote your company, our offers, and the support. Wow! Amazing! Answers all our questions super fast! :) Nothing, some small improvements can be done in the admin site but isn't that a challenge for every SaaS company out there. ;D",['Customer Satisfaction and Support Quality']
Report badges are brilliant for our reputation and social proof!,4,"The review generation campaigns have been great for boosting our rankings in relevant categories. We weren't on any grids just over a year ago, and now we're featured in 6.



The team are great and super helpful to work with as well.",We wish we could do more with the buyer intent data. The salesforce integration didn't work for us.,"Report badges are brilliant for our reputation and social proof! The review generation campaigns have been great for boosting our rankings in relevant categories. We weren't on any grids just over a year ago, and now we're featured in 6.



The team are great and super helpful to work with as well. We wish we could do more with the buyer intent data. The salesforce integration didn't work for us.",['Customer Satisfaction and Integration Capabilities']
The best investment of money and excellent customer service!,5,I really like G2's customer service. All G2 managers I ever worked with were very supportive and fully invested in improving the performance of our advertising package.,It would be great to have the option to edit information about my company directly from the dashboard.,The best investment of money and excellent customer service! I really like G2's customer service. All G2 managers I ever worked with were very supportive and fully invested in improving the performance of our advertising package. It would be great to have the option to edit information about my company directly from the dashboard.,"['Customer Satisfaction', 'Support Quality']"
Very good support team,4,"Lucy is an absolute star - really has all the information at her fingertips, very proactive, great advice and excellent communicator",Cant think of anything in particular to be honest,"Very good support team Lucy is an absolute star - really has all the information at her fingertips, very proactive, great advice and excellent communicator Cant think of anything in particular to be honest",['- Support Quality\n- Customer Satisfaction']
G2 provides hugely valuable insights to our customers that are ultimately driving adoption of Willo,5,"It's simple to use, the team are great and we get unbelievable value from seeing our customer reviews.",Sometimes the reviews aren't accurate. It is reassuringly hard to get them removed!,"G2 provides hugely valuable insights to our customers that are ultimately driving adoption of Willo It's simple to use, the team are great and we get unbelievable value from seeing our customer reviews. Sometimes the reviews aren't accurate. It is reassuringly hard to get them removed!",['- User Experience \n- Customer Satisfaction']
G2 is a great platform to collect reviews! Our CSM is great!!!,5,G2 becomes a best practice WW. Customers know the platform and understand the importance of sharing reviews. Having great reviews helps our Sales process and improve our service.,"If a user does not mention his name while sharing a bad review, you can send a notification, but you won't know the reviewer. In order to improve ourselves, we prefer to reach out to the reviewer directly and have a clear plan with him. In case we know the reviewer, it is straightforward for us to contact and apply a quick mitigation plan.","G2 is a great platform to collect reviews! Our CSM is great!!! G2 becomes a best practice WW. Customers know the platform and understand the importance of sharing reviews. Having great reviews helps our Sales process and improve our service. If a user does not mention his name while sharing a bad review, you can send a notification, but you won't know the reviewer. In order to improve ourselves, we prefer to reach out to the reviewer directly and have a clear plan with him. In case we know the reviewer, it is straightforward for us to contact and apply a quick mitigation plan.",['- Customer Satisfaction\n- Support Quality']
Fantastic Partner!,5,I love all the insights we get regarding our presence and positioning compared to our competitors and the way the platform helps us have more visibility on customer journeys.,"nothing so far, everything with G2 is fantastic","Fantastic Partner! I love all the insights we get regarding our presence and positioning compared to our competitors and the way the platform helps us have more visibility on customer journeys. nothing so far, everything with G2 is fantastic",['- User Experience\n- Comparative Analysis']
"Very helpful team, friendly and professional",3,The team provides valuable insights and suggestions on how to gain new reviews. They always support their pitches with statistics and solid data analysis.,I find the deadlines between the G2 awards very tight. It's hard for small and medium businesses to set up new campaigns in short amounts of time.,"Very helpful team, friendly and professional The team provides valuable insights and suggestions on how to gain new reviews. They always support their pitches with statistics and solid data analysis. I find the deadlines between the G2 awards very tight. It's hard for small and medium businesses to set up new campaigns in short amounts of time.",['Support Quality and Data Analysis Tools']
Great way to hear authentic customer voice,5,"I like to hear how my customers are getting value from my company's product. We can use that to share with other customers, leverage in social and provide feedback to our product team.",There's a need to recruit new 5-star customer reviews consistently or you could lose traction with competitors. This doesn't necessarily add a ton of incremental value to marketing activities.,"Great way to hear authentic customer voice I like to hear how my customers are getting value from my company's product. We can use that to share with other customers, leverage in social and provide feedback to our product team. There's a need to recruit new 5-star customer reviews consistently or you could lose traction with competitors. This doesn't necessarily add a ton of incremental value to marketing activities.",['Customer Satisfaction and Product Benefits']
G2 Reviews,4.5,The insights directly from users has provided invaluable feedback for us to make decisions,I wish there was more flexibility in how the reviews were structured,G2 Reviews The insights directly from users has provided invaluable feedback for us to make decisions I wish there was more flexibility in how the reviews were structured,"['User Experience', 'Missing Functionality']"
Great team and they make it easy!,5,G2 Marketing Solutions allows us to have our G2 reviews on many of the SaaS marketplaces where our company has solutions listed!,We are not able to link our G2 reviews to the Salesforce AppExchange yet.,Great team and they make it easy! G2 Marketing Solutions allows us to have our G2 reviews on many of the SaaS marketplaces where our company has solutions listed! We are not able to link our G2 reviews to the Salesforce AppExchange yet.,['1. Customer Satisfaction\n2. Integration Capabilities']
PartnerStack Staple,5,"G2 is super helpful when looking up ISV's or alternative PRM solutions, the categories and directory are crucial to the way navigate different industries and drive business.","I don't necessarily have anything that I dislike with G2, all my experiences have been positive for the most part. If I do come across any negative experiences, I'll be sure to add another review.","PartnerStack Staple G2 is super helpful when looking up ISV's or alternative PRM solutions, the categories and directory are crucial to the way navigate different industries and drive business. I don't necessarily have anything that I dislike with G2, all my experiences have been positive for the most part. If I do come across any negative experiences, I'll be sure to add another review.",['User Experience and Comparative Analysis']
Best marketing platform for B2B SaaS business,4.5,G2 intent is one of the things that I like in G2. We will have the visibility of companies researching about us and competitors is the one of the best features.,I don't think it is a downside but it would be really helpful if we can get more insights on competition.,Best marketing platform for B2B SaaS business G2 intent is one of the things that I like in G2. We will have the visibility of companies researching about us and competitors is the one of the best features. I don't think it is a downside but it would be really helpful if we can get more insights on competition.,['Customer Satisfaction and Comparative Analysis']
Expanding the Customer Story,4.5,"What I like most about G2 Marketing Solutions is that it effectively allows teams to leverage their positive customer base reputation. Automation and integrations help automate the story of your business, and G2 provides much better and more detailed insight to make a decision.","I dislike at times that some reviews get rejected and there might not be a completely clear reason as to why (although it does provide a bit of context) - so the filtering is good to an extent, but more transparency would be good in that area.","Expanding the Customer Story What I like most about G2 Marketing Solutions is that it effectively allows teams to leverage their positive customer base reputation. Automation and integrations help automate the story of your business, and G2 provides much better and more detailed insight to make a decision. I dislike at times that some reviews get rejected and there might not be a completely clear reason as to why (although it does provide a bit of context) - so the filtering is good to an extent, but more transparency would be good in that area.",['- User Experience\n- Integration Capabilities']
I wish there was more transparency,1.5,The automation and simplicity of the emails to send out. I like that they have it built with triggers to remind your customers to write a review. I like that you can see how you compare to your competitors.,There is not a lot of transparency to how things are calculated.  I would like if everything was public on how things were measured to be able to create a strategy.,I wish there was more transparency The automation and simplicity of the emails to send out. I like that they have it built with triggers to remind your customers to write a review. I like that you can see how you compare to your competitors. There is not a lot of transparency to how things are calculated.  I would like if everything was public on how things were measured to be able to create a strategy.,['User Experience and Comparative Analysis']
G2 is the most important tool in my tech stack,5,"I use G2 to collect customer reviews. As a Customer Marketer, that stuff is like pure gold to me. Both from a product feedback standpoint and from a market perception standpoint, nothing is more valuable than a constant influx of customer reviews.","I occasionally wish that there was less of a desire to game the system, which is relatively easy to do with G2. Sometimes I feel like our position on the grid and within G2's algorithm isn't a true representation of our market share and perception, and that can be frustrating to overcome. That said, the algorithm is what it is, and it's all about maximizing the potential of your profile.","G2 is the most important tool in my tech stack I use G2 to collect customer reviews. As a Customer Marketer, that stuff is like pure gold to me. Both from a product feedback standpoint and from a market perception standpoint, nothing is more valuable than a constant influx of customer reviews. I occasionally wish that there was less of a desire to game the system, which is relatively easy to do with G2. Sometimes I feel like our position on the grid and within G2's algorithm isn't a true representation of our market share and perception, and that can be frustrating to overcome. That said, the algorithm is what it is, and it's all about maximizing the potential of your profile.",['- Customer Satisfaction\n- Comparative Analysis']
Great for visibility growth,3.5,Using G2 has been great for getting us more visibility and seeing the buyer intent data. There are a lot of widgets and tools within G2 that have been great. Some we have yet to explore but so far the experience has been positive.,It was a bit difficult getting the buyer intent data integrations up and running but our support team have helped walk us through our questions and get everything ready to go. They've been very supportive and responsive in regards to that. I also dislike that we cannot customize the campaign emails coming from G2 but have been finding creative ways around sending campaigns on our end. We are a global company and have difficulty with having customers outside of the US trust the site but the more visibility we get the better results we see.,Great for visibility growth Using G2 has been great for getting us more visibility and seeing the buyer intent data. There are a lot of widgets and tools within G2 that have been great. Some we have yet to explore but so far the experience has been positive. It was a bit difficult getting the buyer intent data integrations up and running but our support team have helped walk us through our questions and get everything ready to go. They've been very supportive and responsive in regards to that. I also dislike that we cannot customize the campaign emails coming from G2 but have been finding creative ways around sending campaigns on our end. We are a global company and have difficulty with having customers outside of the US trust the site but the more visibility we get the better results we see.,['- User Experience\n- Support Quality']
Excellent service,5,Find new software as well promote your own software with real reviews.,There are still a few bugs in the admin-ui,Excellent service Find new software as well promote your own software with real reviews. There are still a few bugs in the admin-ui,['- User Experience\n- Bug Fixes']
G2 is a great framework,5,"Working with G2 has a lot of big benefits: 



- They help my team to think, in a more targeted way, about how we're represented in the world. 



- They give us the tools to share our product with a wider audience. 



- They provide a structure for generating feedback in a repeatable way. 



- They generate insight into the browsing patterns of our leads and how our competitors are presenting themselves.



- We've also maintained a very solid relationship with the team at G2 throughout the purchase and onboarding process with Jordan, Will and Akshat. They don't let us rest on our laurels and keep us motivated to do the work and get full value from the platform.","There's nothing in our relationship with G2 that I would describe as unhelpful or counter-productive. It's fair to say that we had to invest some time adapting standardized G2 processes to our business, given specifics like our deal sizes, sales cycle, internal capacity etc. but they always met us in the middle with this.","G2 is a great framework Working with G2 has a lot of big benefits: 



- They help my team to think, in a more targeted way, about how we're represented in the world. 



- They give us the tools to share our product with a wider audience. 



- They provide a structure for generating feedback in a repeatable way. 



- They generate insight into the browsing patterns of our leads and how our competitors are presenting themselves.



- We've also maintained a very solid relationship with the team at G2 throughout the purchase and onboarding process with Jordan, Will and Akshat. They don't let us rest on our laurels and keep us motivated to do the work and get full value from the platform. There's nothing in our relationship with G2 that I would describe as unhelpful or counter-productive. It's fair to say that we had to invest some time adapting standardized G2 processes to our business, given specifics like our deal sizes, sales cycle, internal capacity etc. but they always met us in the middle with this.",['- Customer Satisfaction\n- Product Benefits']
pure explanation,5,"prospect tracking, web hooks, buyer intent",based on company base we are able to target people on linkedin not on individual base,"pure explanation prospect tracking, web hooks, buyer intent based on company base we are able to target people on linkedin not on individual base",['- Integration Capabilities\n- Data Analysis Tools']
Good to get knowledgeable on all the products,4.5,Best to use this product in this market because no other company like G2 had these many products and features to get addressed hear along with practical documentation,Nothing much but only the portal dashboards were little slow in loading becaus of the other pages would recommend G2 to get better graphical pages along with all the required designs,Good to get knowledgeable on all the products Best to use this product in this market because no other company like G2 had these many products and features to get addressed hear along with practical documentation Nothing much but only the portal dashboards were little slow in loading becaus of the other pages would recommend G2 to get better graphical pages along with all the required designs,['User Experience and Training and Documentation']
Great team and great product,5,G2 is a great platform! We enjoy working with the G2 team. They are extremely responsive and helpful. The platform itself is always evolving but the functions provided by G2 are awesome - for example: the review program and grid reports as well as the intent data. The integration with 6sense allows us to really see who is in market to buy allowing us to make more informed phone calls.,"Price can be pretty expensive, however, given the offerings I believe the cost makes sense.","Great team and great product G2 is a great platform! We enjoy working with the G2 team. They are extremely responsive and helpful. The platform itself is always evolving but the functions provided by G2 are awesome - for example: the review program and grid reports as well as the intent data. The integration with 6sense allows us to really see who is in market to buy allowing us to make more informed phone calls. Price can be pretty expensive, however, given the offerings I believe the cost makes sense.",['Customer Satisfaction and Integration Capabilities']
Amazing CSM Support from Jade Cass,5,Jade is very proactive in sharing best practices on how we can use G2 more effectively and joins the call with the best possible energy. It feels like having a very educational cup of coffee with a friend. Love our talks and leaving each call with new ways of improving our position definitely is great!,So far only positive feedback! Whenever I need support i receive it and get solutions.,Amazing CSM Support from Jade Cass Jade is very proactive in sharing best practices on how we can use G2 more effectively and joins the call with the best possible energy. It feels like having a very educational cup of coffee with a friend. Love our talks and leaving each call with new ways of improving our position definitely is great! So far only positive feedback! Whenever I need support i receive it and get solutions.,['- Customer Satisfaction\n- Support Quality']
User friendly,5,The thing that made my experience great with G2 is I am able to check and review the software that I am using. I am helping also the company to know what are the great things about their software and also the things that they need to improve,It covers a wider range of software with a most user friendly interface and i thinks that's what one factor that I don't like because it will be possible that people might be confuse with the feedback per software and cannot come up to a decision if what's trustworthy software to use.,User friendly The thing that made my experience great with G2 is I am able to check and review the software that I am using. I am helping also the company to know what are the great things about their software and also the things that they need to improve It covers a wider range of software with a most user friendly interface and i thinks that's what one factor that I don't like because it will be possible that people might be confuse with the feedback per software and cannot come up to a decision if what's trustworthy software to use.,['- User Experience\n- Comparative Analysis']
Very useful website,5,G2 marketing solutions help people to choose what application they would buy by providing reviews from all users who have experience with a certain application.,"The only thing I dislike about G2 marketing solutions is the website sometimes takes me to another page without clicking on it, but overall everything is perfect.","Very useful website G2 marketing solutions help people to choose what application they would buy by providing reviews from all users who have experience with a certain application. The only thing I dislike about G2 marketing solutions is the website sometimes takes me to another page without clicking on it, but overall everything is perfect.",['User Experience and Customer Satisfaction']
"G2, A PRODUCT THAT HELPS TO SCALE IN DIGITAL EFFICIENCY.",5,"G2 is the pinnacle in terms of effective solutions, with a unique and easy-to-use interface, it allows customers dynamic management and is attractive to users, it is a fast and effective system in terms of marketing.



The use of ABM is totally magnificent when it comes to growing in the world of technology and this G2 service allows it in an incredible way. He also defends clients with valuable ideals and gives solutions in a concrete, direct and correct way possible.



the tools that G2 presents us help to provide the best solutions for the growth of our businesses. It's the new world for customers. generating thousands and millions of interested parties but most importantly they are satisfied with their work.","Currently, the use of G2 has generated a complete and correct solution to my needs. so I couldn't say something I don't like about this great system.","G2, A PRODUCT THAT HELPS TO SCALE IN DIGITAL EFFICIENCY. G2 is the pinnacle in terms of effective solutions, with a unique and easy-to-use interface, it allows customers dynamic management and is attractive to users, it is a fast and effective system in terms of marketing.



The use of ABM is totally magnificent when it comes to growing in the world of technology and this G2 service allows it in an incredible way. He also defends clients with valuable ideals and gives solutions in a concrete, direct and correct way possible.



the tools that G2 presents us help to provide the best solutions for the growth of our businesses. It's the new world for customers. generating thousands and millions of interested parties but most importantly they are satisfied with their work. Currently, the use of G2 has generated a complete and correct solution to my needs. so I couldn't say something I don't like about this great system.",['- User Experience\n- Customer Satisfaction']
UNRELIABLE INFORMATION,0,It's platform makes it easy to send out reviews,The system that rates your score doesn't make sense to the user...you can get multiple great reviews yet the score doesn't move and no one has been able to tell me what goes into the score and how it's weighted,UNRELIABLE INFORMATION It's platform makes it easy to send out reviews The system that rates your score doesn't make sense to the user...you can get multiple great reviews yet the score doesn't move and no one has been able to tell me what goes into the score and how it's weighted,['- User Experience\n- Support Quality']
Most trusted platform offering valuable insights and feedbacks for great softwares,5,"G2 has a thriving community of software users, experts, and professionals. Users can actively participate in discussions, ask questions, and seek advice from the community, creating a collaborative environment for knowledge sharing.



 Not to mention the trustworthy ratings and rankings based on real user reviews. This grid particularly, offers a visual representation of software products' market presence and customer satisfaction, enabling users to compare and evaluate different options within specific categories effectively.



This marketplace encourages software vendors to actively engage with users, respond to reviews, and address concerns which fosters vendor accountability and transparency, allowing potential buyers to gauge the vendor's commitment to customer satisfaction.",I think G2 is yet to cover so many softwares available in the market which are not so known to people.,"Most trusted platform offering valuable insights and feedbacks for great softwares G2 has a thriving community of software users, experts, and professionals. Users can actively participate in discussions, ask questions, and seek advice from the community, creating a collaborative environment for knowledge sharing.



 Not to mention the trustworthy ratings and rankings based on real user reviews. This grid particularly, offers a visual representation of software products' market presence and customer satisfaction, enabling users to compare and evaluate different options within specific categories effectively.



This marketplace encourages software vendors to actively engage with users, respond to reviews, and address concerns which fosters vendor accountability and transparency, allowing potential buyers to gauge the vendor's commitment to customer satisfaction. I think G2 is yet to cover so many softwares available in the market which are not so known to people.",['- User Experience\n- Customer Satisfaction']
Complete business insight to make informed decision for chosing a software platform for enterprises,5,"G2 Crowd is a platform that provides complete insight for making an informed decision about choosing a software platform. It facilitates the customers with an unbiased experience through trusted & verified opinions, thus leading them to choose a platform for their enterprise without any hassle.","This platform is an all-in-one marketing solution with significantly lesser downsides. However, for reviewers, a delete option for unpublished reviews can make them more feasible for their selection.","Complete business insight to make informed decision for chosing a software platform for enterprises G2 Crowd is a platform that provides complete insight for making an informed decision about choosing a software platform. It facilitates the customers with an unbiased experience through trusted & verified opinions, thus leading them to choose a platform for their enterprise without any hassle. This platform is an all-in-one marketing solution with significantly lesser downsides. However, for reviewers, a delete option for unpublished reviews can make them more feasible for their selection.","['Customer Satisfaction', 'Comparative Analysis']"
